title,price_now,price_orig,discount_pct,shipping,rating,image_url,product_url,price,original_price,brand,rating_num
New Balance 992 Made in USA 2020 Grey Size 10.5 Men's Steve Jobs Sneaker,$449.99,,17.0,+$14.95 delivery,,https://i.ebayimg.com/images/g/wIIAAOSwS0pm~CY~/s-l500.webp,https://www.ebay.com/itm/326289891275?_skw=shoes&epid=5043994576&itmmeta=01JZEVKH087R893CWEPCF4YFKS&hash=item4bf8649fcb:g:wIIAAOSwS0pm~CY~&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dxvivVlvy5jSkMAmnDpRzjAY3Fc2j6SL1VwwR%2FFu32GduVb3MwdUAROsYbnT1zBpdWZ%2FSu36jY3CfUTC1mES97m6cGNA0oyPsvmPkDQ17hPbM1gft%2BOjwC9K4obHv%2F54HlBpUjdTrr1ntef1gud6sBsISm83VEqwnt%2BolmQj0JGkXysCXzSjhnNFg%2F2lu8t1Ct32C6EPlIYx6VVWPjpq32I0k3d9CpjwUJnmTxFSCw2w%3D%3D%7Ctkp%3ABlBMULqQztv7ZQ,449.99,,new,
New Nike Travis Scott x Air Max 270 React ENG Cactus Trails Size 10.5 Mens TS,$349.99,,10.0,+$14.95 delivery,,https://i.ebayimg.com/images/g/VuEAAOSwkb5m~snB/s-l500.webp,https://www.ebay.com/itm/326292226350?_skw=shoes&epid=26039819473&itmmeta=01JZEVKH08ESYH63CCYGFGHFC3&hash=item4bf888412e:g:VuEAAOSwkb5m~snB&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dCqdg2BcJ8EY81hbm6YoxvVEK0y%2FgsdX8d8xY9N30oPH188whJvsQisnjrbtkrakqVkHEVNPnVMgBFT3OuapQQlCg7hK4QfleQN2sCI93xx6MDlpFsMZ%2F263K20IuI7XclTKfk9mCqYyiyuUZ9t6V64M94Wl04NAEMywylEnIo466zS8lL3te%2BNAiZhNGBI6GE%2Fj2%2BrL24m1sFsynNr%2BefnLT1LeoYPdj2YTU06YXFeg%3D%3D%7Ctkp%3ABlBMULqQztv7ZQ,349.99,,new,
Nike Serena Williams x Off-White x Air Max 97 OG Queen Size 4.5 Mens / 6 Womens,$799.99,,11.0,+$14.95 delivery,,https://i.ebayimg.com/images/g/sP8AAOSw7bFm~CmT/s-l500.webp,https://www.ebay.com/itm/226379737344?_skw=shoes&epid=25044370246&itmmeta=01JZEVKH08QQWCHT01E0DTMVV9&hash=item34b548a900:g:sP8AAOSw7bFm~CmT&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dmXV8fTvS0ttYf6xF%2BMXnuKBcnOJx51X4LKsxzm12gVVtzi3%2BtZoO8prs4pF8z0w%2FBUngEFgOijFaE0KKGkoDoprZhuEFdi0F3%2Bx1wpplCno16fvF36AuVgKBoHF14ctbfZFmVyon8LIvPggUCPNTKE0niIOTOL2YTfr%2FOlBkV2TRWMsf4jLlOOjRXcySz3jsWZVta6XUiackny%2ByCF54NRwD64Q%2FAtMUnffdG7JbvPQ%3D%3D%7Ctkp%3ABlBMULqQztv7ZQ,799.99,,nike,
adidas men Daily 3.0 Shoes,$26.00,,60.0,Free delivery,,https://i.ebayimg.com/images/g/GEYAAeSw24NoZVhM/s-l500.webp,https://www.ebay.com/itm/157050058440?_skw=shoes&itmmeta=01JZEVKH08KTVE7K5P8RKJ160R&hash=item2490e9b6c8:g:GEYAAeSw24NoZVhM&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d0oL%2FbxzKLy8YVY%2BqMGUd%2F7f1tZQNxOBK0UjqkSDa9pcj3HjblNOkHp4rlRaL1OJusNWzK%2BrY6i1bF2dEKW3q%2BRiZoqUjaUunOJp7UA9z2qIJH3sHoWEpUZd9Bc7Jagc2VxRvlhgI1jzMBNlBdx3Px84GIa69OVA2bZGyuHKBE%2BlTNYOnsKwnc7I%2BukZb%2BJi69XZriNmc8h0H2CzjMtlK5ZrGEJmvMXFmHoNs3VDFeg9%2BE8%2F8mueZKXkwsFDdallNvF9hcuO5J%2FTfshdbYemwd%7Ctkp%3ABk9SR7qQztv7ZQ,26.0,,adidas,
adidas men GRAND COURT 2.0 SHOES,$22.00,,69.0,Free delivery,,https://i.ebayimg.com/images/g/Jo4AAeSw3V1oZVh0/s-l500.webp,https://www.ebay.com/itm/156879751918?_skw=shoes&itmmeta=01JZEVKH08QNBKXMNB9XP5VWS0&hash=item2486c30aee:g:Jo4AAeSw3V1oZVh0&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dC5e0QR4hh1nFv0DdOy7TeGz1HWoEVkwBiR8Om70bBTwbIEYCptO3B985vsic%2FnspuduF%2Foz6UeZuHBGf%2BM%2F73JL9u1Pbnq80yGOZHcWkUlTvsRBpFMAu1Fow1eGY6JedeHrtQbizR3OeSnaHWatUGWYfc1ZcTGW9j5ZwZAJG9gxVlzXmY6MSaJmjIo5NKkE8P0s70NSUZ1TuOD%2Bp%2BNlRbN3998BNmV7I4rJ75iMknzA%3D%3D%7Ctkp%3ABk9SR7qQztv7ZQ,22.0,,adidas,
adidas men Grand Court Alpha Shoes,$24.00,,70.0,Free delivery,,https://i.ebayimg.com/images/g/XyYAAeSwjCFoWyND/s-l500.webp,https://www.ebay.com/itm/157125752466?_skw=shoes&epid=12072229994&itmmeta=01JZEVKH08TAQW8P864G375GK4&hash=item24956cb692:g:XyYAAeSwjCFoWyND&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dGhEqA1hA4nYeKS%2BzzgumduC8mAjABF3scMsa503clyKx3hlvbTaYDKuiuJGB3VJLR%2BSehAfYDFQuA3HaLUgxt%2FOr7eEy0OqGTXKx6ztWB6L7d9mjpmriw2MsYwUUyra8%2FXZIBWoUuxb8gkIwu11FXZ3ns%2FxkDBX2j8rcA6jbmYMiirUcdSokgpmbR486CVwfT0eL2Ig5pO%2BBqTNpPcWbGolXlFNIBX8VD2tj2wAQiM62%2BSYK8oueoPz0jVsbyeXaMqMQxjKRZ6QxoQdTYVn4f%7Ctkp%3ABk9SR7qQztv7ZQ,24.0,,adidas,
adidas women Cloudfoam Pure Shoes,$18.00 to $23.00,,69.0,Free delivery,,https://i.ebayimg.com/images/g/RHUAAeSwP2NoZeZN/s-l500.webp,https://www.ebay.com/itm/157143415117?_skw=shoes&itmmeta=01JZEVKH08N5WCVHFJQT9YR3HB&hash=item24967a394d:g:RHUAAeSwP2NoZeZN&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d0xB%2BHAv%2BBFW4iUSmz%2BqusoOtNNYCPD%2Fa12EcjYKszS%2FyHyTs7dgwhyafQ6nd7xtBOrS9NChKkRdGLJdAnmx7h56VtEck%2Bas%2FePg%2FHoEEazyl9ciBfhmk7enG6iK1AeJclNHG02g6cIMUE3Do%2FqTKcHQnFuq2TKjZVX2CxjUYIQu59o%2BkAYikhiQ6EEILqshYmzRUB07uK7UIU644EL4zOs4g0aNrnAY3gXqMybZaB8w%3D%3D%7Ctkp%3ABk9SR7qQztv7ZQ,18.0,,adidas,
adidas men Puig Samba Shoes,$40.00,,60.0,Free delivery,,https://i.ebayimg.com/images/g/w2sAAeSwgEdoZeda/s-l500.webp,https://www.ebay.com/itm/157143426180?_skw=shoes&itmmeta=01JZEVKH086RN4PESC9SRKWKEV&hash=item24967a6484:g:w2sAAeSwgEdoZeda&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eGmH3OE7K9NHEN4fxqauFW3w3mvdgXShfltOWD1l%2Fnf0JneuhgO4n87WRDO8PIhN3%2BrMGxSxymL8lQbGhNGKo3BcbzvBrMzPPmmJ7jPqhc3%2FTulq%2FiGOvi4KGxw%2Bs7%2BteJUZE7ByqCPb5s4AD9rRpVm23N%2BdzH59DrZ3gRHamM6QB%2FO7C8hz2EIo%2FauNKCAeWIrxCQjwrgElTsRPePLDBP3z7g2S2CQu2YzdGUsFUbnmSuSstiP%2B7tQlwbZjzprvuvXBgRS5yco66m0Xlz06WC%7Ctkp%3ABk9SR7qQztv7ZQ,40.0,,adidas,
adidas men Adizero Aruku Shoes,$44.00,,,,,https://i.ebayimg.com/images/g/qEkAAeSwKO1oZVqb/s-l500.webp,https://www.ebay.com/itm/156995370476?_skw=shoes&itmmeta=01JZEVKH0XGY6WQD55G1CG40ZN&hash=item248da73dec:g:qEkAAeSwKO1oZVqb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cVkOBoXenk5BhSQzW7C48HorEO2g65yObia%2Fuboz7G1Ei%2FX%2BbMnZM5SiDlrsgcAu2acJrrTypFJOzXlEzLO9rhRsR1OxMztL7hQ1gjCkIUvxCvxatlog5iaMWmhDd9%2FH6KDWh%2BBjCwOgtCQJ2kRHBSi8sSbT4EV5FpLuqxNmoZaLdj0xwNrFMet%2FY62D3pAACUC6JZR9MlBgWidX6ss4dspkIkOSDDy%2B3C1OVgZ1grZA7xRu%2Fn44TRuGTU12xgvHPf4n6SQNBnNymgKJ2YMU1c%7Ctkp%3ABFBM-pDO2_tl,44.0,,adidas,
adidas men Stan Smith Lux Shoes,$36.00,,,,,https://i.ebayimg.com/images/g/wmQAAeSwso9oZ~kr/s-l500.webp,https://www.ebay.com/itm/157125739834?_skw=shoes&itmmeta=01JZEVKH0X05Q4M8M5WFVY3V0X&hash=item24956c853a:g:wmQAAeSwso9oZ~kr&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f85gyukJoUQ4Uk3v4ICkpKgzNIEza3152M0Vd7PFuoziZy4Q0x8jzRMHwf8Yo7qlyS6ZklgUTL6BhQZMQcjg8fdSG33XuDan1fxRn9H3k6ru7pmXQQbSdpOIi5PWstCGOv4J16rmOZ870Tyf%2FcP522dtFKgpf4Ig9xTcgupR78ra6TTSMerGmnKztG0F819ATZucAqKJ42Xcac9JQL%2BSrYsmRUpdHDvzrO1Uz%2FgO%2FcVGeLH6Tn3%2FhbJJ0cG3wskouQYum2bi9EIAENbSFS3BNg%7Ctkp%3ABFBM-pDO2_tl,36.0,,adidas,
